Provincia,Fecha,Banda ancha fija,Dial up,Total,latitud,longitud
Catamarca,2022-11-11,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-12,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-13,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-14,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-15,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-16,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-17,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-18,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-19,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-20,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-21,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-22,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-23,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-24,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-25,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-26,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-27,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-28,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-29,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-30,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-01,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-02,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-03,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-04,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-05,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-06,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-07,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-08,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-09,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-10,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-11,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-12,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-13,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-14,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-15,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-16,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-17,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-18,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-19,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-20,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-21,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-22,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-23,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-24,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-25,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-26,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-27,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-28,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-29,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-30,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-12-31,71,1,72,-27.3358332810217,-66.9476824299928
Chaco,2022-10-01,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-02,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-03,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-04,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-05,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-06,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-07,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-08,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-09,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-10,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-11,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-12,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-13,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-14,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-15,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-16,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-17,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-18,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-19,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-20,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-21,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-22,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-23,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-24,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-25,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-26,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-27,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-28,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-29,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-30,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-10-31,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-01,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-02,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-03,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-04,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-05,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-06,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-07,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-08,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-09,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-10,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-11,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-12,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-13,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-14,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-15,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-16,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-17,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-18,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-19,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-20,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-21,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-22,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-23,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-24,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-25,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-26,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-27,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-28,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-29,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-11-30,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-01,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-02,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-03,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-04,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-05,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-06,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-07,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-08,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-09,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-10,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-11,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-12,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-13,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-14,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-15,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-16,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-17,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-18,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-19,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-20,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-21,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-22,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-23,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-24,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-25,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-26,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-27,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-28,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-29,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-30,144,5,149,-26.3864309061226,-60.7658307438603
Chaco,2022-12-31,144,5,149,-26.3864309061226,-60.7658307438603
Chubut,2022-10-01,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-02,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-03,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-04,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-05,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-06,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-07,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-08,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-09,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-10,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-11,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-12,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-13,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-14,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-15,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-16,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-17,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-18,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-19,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-20,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-21,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-22,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-23,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-24,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-25,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-26,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-27,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-28,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-29,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-30,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-10-31,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-11-01,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-11-02,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-11-03,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-11-04,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-11-05,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-11-06,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-11-07,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-11-08,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-11-09,168,904,1072,-43.7886233529878,-68.5267593943345
Chubut,2022-11-10,168,904,1072,-43.7886233529878,-68.5267593943345
